gid;tipo_elem;idelem;cod_cent;nombre;Xcoord;Ycoord
3436;494;1044;03FT08PM01;03FT08PM01;-3,720753548;40,419125
195;494;3600;PM30901;PM30901;-3,664408576;40,40625169
299;494;3705;PM41451;PM41451;-3,709906326;40,39072147
3384;494;6823;PM41453;PM41453;-3,717737077;40,38455435
3659;495;7033;1015;P1 Castellana S-N - Pl. Colon-Hermosilla;-3,69010541;40,4262306
457;495;3864;2009;Dr. Esquedo N-S - Samaria-Av. Nazaret (De Frente);-3,669828933;40,41261975
829;495;4237;14037;Moratines O-E - Martin Vargas-Embajadores;-3,702261641;40,40358756
2165;495;5597;61090;Alfonso XIII O-E - Paraguay-Ricardo Calvo;-3,670694093;40,46015518
2154;495;5586;61120;Acceso M-30 N-E(Superficie) - M-30 Norte-Pl.Jose M;-3,667357448;40,46014676
2534;495;5967;45021;Pl. Alsacia - Malmoe-Hermanos Garc a Noblejas;-3,62346944;40,41699533
2560;495;5993;45049;Pl. Alsacia - Fuente Carrantona-Malmoe;-3,623678604;40,41723967
2938;495;6371;59017;C/. Salvador de Madariaga - Esteban Mora-Verdaguer y Garc;-3,657048201;40,43890261
2942;495;6375;59021;Av. Badajoz - Aristateles-Torrelaguna;-3,652839348;40,44305416
2964;495;6398;64011;Av. Canillejas a Victlvaro - Pobladura del Valle-Julia Garcia Boutan;-3,611089774;40,42800408
2985;495;6419;64405;Av. Canillejas a Victlvaro a Suecia - Aquitania-Av. Guadalajara;-3,611257261;40,42139917
403;495;3810;65027;AV. Daroca 106 O-E - Fco. Largo Caballeroo-Fuente Carranton;-3,627783801;40,41651317
1838;495;5265;84030;P.SAN JOSE S-N(PARQUE GARAJONAI-JACOBEO);-3,761078662;40,36450866
1853;495;5280;85006;GRAL RICARDOS  O-E;-3,717809626;40,39664882
1888;495;5315;86012;RAFAEL FINAT N-S(GRAL.SALIQUET-AVIACION);-3,77312579;40,3748198
3077;495;6511;71009;C/. San Romualdo - Albasanz-AlcalI;-3,622839029;40,44078598
1638;495;5061;49035;OCA N-S(MATILDE FERNANDEZ-GRAL.RICARDOS);-3,731038714;40,3882342
